1	Em que bioma o Distrito Federal está inserido?	Caatinga.	Cerrado.	Amazônico.	Mata Altântica.	B
2	Qual o nome da mata localizada às margens do rio em áreas de Cerrado?	Igapó.	Mata de terra firme.	Mata ciliar.	Mata de várzea.	C
3	Quais as principais características das árvores que observou no início da trilha?	Troncos tortuosos, casca das árvores espessas, baixa estatura.	Troncos eretos, casca das árvores finas, baixa estatura.	Troncos tortuosos, casca das árvores espessas alta estatura.	Troncos eretos, casca das árvores finas, alta estatura.	A
4	O que é Serapilheira?	Grupo de animais que habitam o solo.	Conjunto de raízes expostas das árvores na mata.	Conjunto de restos de vegetação, insetos e outros animais em diferentes estágios de decomposição.	Grupo de agentes decompositores que habitam o solo das matas.	C
5	As principais características das folhas na área de Cerrado são?	Aspecto coriáceo, pilosas, em algumas espécies caem durante a estação seca.	Folhas lisas, grandes e perenes.	Folhas lisas, pilosas, em algumas espécies caem durante a estação seca.	Folhas coriáceas, bordas lisas e perenes.	A
6	Em relação à biodiversidade do Cerrado é certo afirmar:	É pobre em espécies da fauna e da flora.	É rica em espécies da fauna, mas pobre em espécies da flora.	É rica em espécies da fauna e da flora.	É pobre em espécies da flora, mas pobre em espécies de fauna.	C
7	Em relação à área ocupada pelo bioma Cerrado pode-se afirmar que:	Ocupa uma área pequena e restrita ao nordeste do Brasil.	Ocupa uma área bastante grande do norte do Brasil.	Ocupa uma área pequena no centro do Brasil.	Ocupa uma área extensa do centro-sul, mas ocorre em manchas no norte e nordeste.	D
8	Em relação à distribuição de chuvas, a região do Cerrado caracteriza-se por:	Ter períodos bem marcados de seca e de chuva.	As precipitações de chuva ocorrem o ano inteiro.	As chuvas são raras e se concentram no meio do ano.	Não existem períodos bem marcados de seca e de chuva.	A
9	São frutos típicos do Cerrado:	Cupuaçu, açaí, tucumã, pupunha e bacuri.	Taperebá, jerivá, uvalha, cambuci e sapoti.	Araticum, pequi, cagaita, jatobá e murici.	Licuri, umbu, caju, mangaba, cajá.	C
10	São características observáveis no trecho da trilha dentro da mata ciliar:	Ambiente seco, árvores baixas e presença de cipós e samambaias.	Ambiente úmido, árvores baixas e alta concentração de serapilheira.	Ambiente seco, árvores baixas, serapilheira reduzida e ausência de cipós e         samambaias.	Ambiente úmido, árvores altas, presença de serapilheira, cipós e samambaias.	D
11	Quais animais representam melhor o Cerrado?	Tamanduá-bandeira, lobo-guará, siriema e ema.	Onça-pintada, macaco-da-noite, caititu, boto-cor-de-rosa.	Mico-leão-da-cara-dourada, irara, peixe-boi e gavião-real.	Gralha-azul, mico-leão-da cara-preta, capivara e ariranha.	A
12	O conceito de espécies endêmicas consiste em:	Espécies que ocorrem somente em determinada área ou região geográfica.	Espécies que têm ampla distribuição geográfica.	Espécies que ocorrem no Cerrado.	Espécies que já não são mais encontradas no planeta. 	A
13	São espécies do Cerrado com propriedades medicinais:	Andira, gomeira, pau-terra e canela-de-ema.	Sucupira, jatobá, angico, copaíba e gravatá.	Peapalanthus, Calliandra, encyclia e aspilia.	Cipó-neve, pariri, escova-de-macaco e boa-noite.	B
14	Quais as principais bacias hidrográficas que nascem do Distrito Federal?	Araguaia-Tocantins, São Francisco e Paraná.	Amazônica, Uruguai e São Francisco.	Araguaia-Tocantins, Uruguai e Amazônica.	Parnaíba, Paraná e São Francisco.	A
15	Qual córrego nasce dentro do Jardim Botânico de Brasília, sendo utilizado para abastecimento humano?	Córrego da onça.	Córrego do Roncador.	Córrego Cabeça-de-Veado.	Córrego do Cedro.	C
16	Espécies do Cerrado com potencial alimentício:	Pequi, jatobá, baru e buriti.	Sucupira, andira, pau-santo e pau-terra.	Mandiocão-do-cerrado, Peroba, carobinha e angico.	Ipê, jacarandá-mimoso, peapalanthus e caliandra.	A
17	São espécies da fauna do Cerrado ameaçadas de extinção:	Sapo-boi, cutia, siriema e carcará.	Tamanduá-bandeira, lobo-guará, cachorro-vinagre e águia-cinzenta.	Capivara, sagui, tucanoçu e jiboia.	Cascavel, veado-campeiro, paca e codorna-mineira.	B
18	Qual a espécie vegetal predominante em áreas de vereda?	Buriti.	Mandiocão-do-cerrado.	Sucupira.	Gomeira.	A
19	Quais das fitofisionomias abaixo integram o Cerrado?	Campo limpo, vereda, cerradão e campo sujo.	Igapó, babaçuais, campo sujo e vereda.	Campo limpo, cerrado, mata ciliar e mata de terra firme.	Babaçuais, vereda, campo sujo e campo limpo.	A
20	Em relação aos vegetais, marcar o conjunto de termos corretos:	Autótrofos, fotossíntese, produção de O2 e produtores.	Heterótrofos, fotossíntese, consumidores e utilizadores de CO2.	Fotossíntese, autótrofos, consumidores e produtores de CO2.	Consumidores, heterótrofos, produtores de CO2 e fotossíntese.	A
21	Qual a principal função da mata ciliar ou mata de galeria?	Melhorar a estética dos rios.	Servir de reservatório de caça para os moradores rurais.	Reserva de espaço para expansão agrícola.	Proteção do solo e da água.	D
22	Em qualquer que seja o ecossistema observado, estão presentes fatores bióticos e abióticos. Assinale a opção que apresenta somente fatores bióticos:	Rocha, solo, ar e água.	Sapo, minhoca, peixe e ar.	Sapo, minhoca, buriti e peixe.	Água, solo, sapo e ar.	C
23	No ciclo da água ocorrem transformações que são resultado da energia que vem:	Vento	Sol	Eletricidade	Som	B
24	A energia solar é a mais importante para todos os seres vivos. A vida em nosso planeta depende do sol, porque:	A energia do sol é aproveitada na fotossíntese realizada pelas plantas.	A energia do sol somente interfere na temperatura do planeta.	A energia do sol não interfere no ciclo da água.	A energia do sol é absorvida pelos animais para produzirem seu próprio alimento.	A
25	Pode ser considerado um exemplo de ecossistema: 	Um lápis.	Uma lata de sardinha.	Uma garrafa de vidro com água potável.	Um aquário com peixes e plantas.	D
26	Assinale o ambiente que possui maior biodiversidade:	Centro urbano.	Bairro residencial.	Campo cultivado.	Floresta.	D
